time,daily_confirm,recovery,deaths,cum_confirm,cum_heal,cum_dead
2020-03-05,1,0,0,1,0,0
2020-03-06,0,0,0,1,0,0
2020-03-07,0,0,0,1,0,0
2020-03-08,2,0,0,3,0,0
2020-03-09,0,0,0,3,0,0
2020-03-10,4,0,0,7,0,0
2020-03-11,6,0,0,13,0,0
2020-03-12,4,0,0,17,0,0
2020-03-13,7,0,0,24,0,0
2020-03-14,14,0,0,38,0,0
2020-03-15,13,0,0,51,0,0
2020-03-16,11,0,0,62,0,0
2020-03-17,0,0,0,62,0,0
2020-03-18,54,0,0,116,0,0
2020-03-19,34,0,0,150,0,0
2020-03-20,52,0,0,202,0,0
2020-03-21,38,0,0,240,0,0
2020-03-22,34,0,0,274,0,0
2020-03-23,128,0,0,402,0,0
2020-03-24,152,0,0,554,0,0
2020-03-25,155,0,0,709,0,0
2020-03-26,218,0,0,927,0,0
2020-03-27,243,0,1,1170,0,1
2020-03-28,17,0,0,1187,0,1
2020-03-29,93,0,1,1280,0,2
2020-03-30,46,0,1,1326,0,3
2020-03-31,27,0,2,1353,0,5
2020-04-01,27,0,0,1380,0,5
2020-04-02,82,0,0,1462,0,5
2020-04-03,43,0,4,1505,0,9
2020-04-04,80,0,0,1585,0,9
2020-04-05,70,0,2,1655,0,11
2020-04-06,31,0,1,1686,0,12
2020-04-07,63,0,1,1749,0,13
2020-04-08,96,0,5,1845,0,18
2020-04-09,89,0,0,1934,0,18
2020-04-10,69,0,6,2003,0,24
2020-04-11,25,0,1,2028,0,25
2020-04-12,145,0,0,2173,0,25
2020-04-13,99,0,2,2272,0,27
2020-04-14,143,0,0,2415,0,27
2020-04-15,91,0,7,2506,0,34
2020-04-16,99,0,14,2605,0,48
2020-04-17,178,0,2,2783,0,50
2020-04-18,251,0,2,3034,0,52
2020-04-19,124,0,2,3158,0,54
2020-04-20,142,0,4,3300,0,58
2020-04-21,165,0,0,3465,0,58
2020-04-22,170,0,7,3635,0,65
2020-04-23,1,0,10,3953,0,75
2020-04-24,0,0,4,4220,0,79
2020-04-25,0,0,7,4361,0,86
2020-04-26,2,0,1,4546,0,87
2020-04-27,0,0,3,4793,0,90
2020-04-28,4,0,3,4996,0,93
2020-04-29,6,0,10,5350,0,103
2020-04-30,4,0,0,5647,0,103
2020-05-01,7,0,13,5951,0,116
2020-05-02,14,0,7,6336,0,123
2020-05-03,13,0,8,6783,0,131
2020-05-04,11,0,7,7220,0,138
2020-05-05,0,0,10,7572,0,148
2020-05-06,54,0,5,7808,0,153
2020-05-07,34,0,8,8232,0,161
2020-05-08,52,0,17,8895,0,178
2020-05-09,38,0,8,9420,0,186
2020-05-10,34,0,8,10015,0,194
2020-05-11,128,0,12,10652,0,206
2020-05-12,152,0,0,11350,0,206
2020-05-13,155,0,13,12074,0,219
2020-05-14,218,0,19,12739,0,238
2020-05-15,243,0,9,13524,0,247
2020-05-16,17,0,14,14355,0,261
2020-05-17,93,0,3,15515,0,264
2020-05-18,46,0,22,16433,0,286
2020-05-19,27,0,26,17200,0,312
2020-05-20,27,0,27,18003,0,339
2020-05-21,82,0,30,19137,0,369
2020-05-22,43,0,28,20125,0,397
2020-05-23,80,0,10,21343,0,407
2020-05-24,70,0,22,22583,0,429
2020-05-25,31,0,52,23615,0,481
2020-05-26,63,0,43,24264,0,524
2020-05-27,96,0,28,25937,0,552
2020-05-28,89,0,25,27403,0,577
2020-05-29,69,0,34,29240,0,611
2020-05-30,25,0,32,30967,0,643
2020-05-31,145,0,40,32683,0,683
2020-06-01,99,0,22,34357,0,705
2020-06-02,143,0,50,35812,0,755
2020-06-03,91,0,37,37525,0,792
2020-06-04,99,0,56,40792,0,848
2020-06-05,178,0,60,43434,0,908
2020-06-06,251,0,44,45973,0,952
2020-06-07,124,0,46,48285,0,998
2020-06-08,142,0,82,50879,0,1080
2020-06-09,165,0,82,52991,0,1162
2020-06-10,170,0,48,55421,0,1210
2020-06-11,1,0,74,58568,0,1284
2020-06-12,0,0,190,459761,0,7257
2020-06-13,46,0,22,16433,0,286
2020-06-14,27,0,26,17200,0,312
2020-06-15,27,0,27,18003,0,339
2020-06-16,82,0,30,19137,0,369
2020-06-17,43,0,28,20125,0,397
2020-06-18,80,0,10,21343,0,407
2020-06-19,70,0,22,22583,0,429
2020-06-20,31,0,52,23615,0,481
2020-06-21,63,0,43,24264,0,524
2020-06-22,96,0,28,25937,0,552
2020-06-23,89,0,25,27403,0,577
2020-06-24,69,0,34,29240,0,611
2020-06-25,25,0,32,30967,0,643
2020-06-26,145,0,40,32683,0,683
2020-06-27,99,0,22,34357,0,705
2020-06-28,143,0,50,35812,0,755
2020-06-29,91,0,37,37525,0,792
2020-06-30,99,0,56,40792,0,848
2020-07-01,178,0,60,43434,0,908
2020-07-02,251,0,44,45973,0,952
2020-07-03,46,0,22,16433,0,286
2020-07-04,27,0,26,17200,0,312
2020-07-05,27,0,27,18003,0,339
2020-07-06,82,0,30,19137,0,369
