Date,Date_1,Date_3,DAILY_CASES,CUMULATIVE_CASES,new_cases_smoothed,total_deaths,DAILY_CASES,CUMULATIVE_CASES,DAILY_RECOVERIES,RECOVERIES,Daily Deaths,Cumulative Deaths,ACTIVE CASES,ACTIVE CASES2,Case Fatality Rate,Daily Tests,Cumulative Tests
13/03/2020,2020-03-05,2020/03/13,1,1,,,0,0,0,0,0,0,0,0,"0,0%",0,0
14/03/2020,2020-03-06,2020/03/14,0,1,,,1,1,0,0,0,0,1,1,"0,0%",0,0
20/03/2020,2020-03-07,2020/03/15,0,1,,,0,1,0,0,0,0,1,1,"0,0%",0,0
22/03/2020,2020-03-08,2020/03/16,2,3,,,3,4,0,0,0,0,4,4,"0,0%",0,0
23/03/2020,2020-03-09,2020/03/17,0,3,,,1,5,0,0,0,0,5,5,"0,0%",0,0
25/03/2020,2020-03-10,2020/03/18,4,7,1,,1,6,0,0,0,0,6,6,"0,0%",0,0
26/03/2020,2020-03-11,2020/03/19,6,13,"1,857",,3,9,0,0,0,0,9,9,"0,0%",0,0
31/03/2020,2020-03-12,2020/03/20,4,17,"2,286",,0,9,0,0,0,0,9,9,"0,0%",0,0
06/04/2020,2020-03-13,2020/03/21,7,24,"3,286",,1,10,3,3,,0,7,7,"0,0%",0,0
08/04/2020,2020-03-14,2020/03/22,14,38,"5,286",,2,12,3,6,,0,6,6,"0,0%",0,0
11/04/2020,2020-03-15,2020/03/23,13,51,"6,857",,2,14,0,6,,0,8,8,"0,0%",0,0
13/04/2020,2020-03-16,2020/03/24,11,62,"8,429",,1,15,1,7,,0,8,8,"0,0%",0,0
14/04/2020,2020-03-17,2020/03/25,0,62,"7,857",,1,16,0,7,,0,9,9,"0,0%",0,0
15/04/2020,2020-03-18,2020/03/26,54,116,"14,714",,1,17,0,7,,0,10,10,"0,0%",0,0
17/04/2020,2020-03-19,2020/03/27,34,150,19,,2,19,0,7,,0,12,12,"0,0%",0,0
18/04/2020,2020-03-20,2020/03/28,52,202,"25,429",,3,22,0,7,,0,15,15,"0,0%",0,0
20/04/2020,2020-03-21,2020/03/29,38,240,"28,857",,2,24,0,7,,0,17,17,"0,0%",0,0
21/04/2020,2020-03-22,2020/03/30,34,274,"31,857",,7,31,0,7,,0,24,24,"0,0%",0,0
22/04/2020,2020-03-23,2020/03/31,128,402,"48,571",,1,32,2,9,,0,23,23,"0,0%",0,0
23/04/2020,2020-03-24,2020/04/01,152,554,"70,286",,4,36,0,9,,0,27,27,"0,0%",0,0
24/04/2020,2020-03-25,2020/04/02,155,709,"84,714",,4,40,0,9,,0,31,31,"0,0%",0,0
25/04/2020,2020-03-26,2020/04/03,218,927,111,,16,56,0,9,,0,47,47,"0,0%",0,0
26/04/2020,2020-03-27,2020/04/04,243,1170,"138,286",1,4,60,0,9,,0,51,51,"0,0%",0,0
27/04/2020,2020-03-28,2020/04/05,17,1187,"135,286",1,5,65,0,9,,0,56,56,"0,0%",0,0
28/04/2020,2020-03-29,2020/04/06,93,1280,"143,714",2,6,71,0,9,,0,62,62,"0,0%",0,0
29/04/2020,2020-03-30,2020/04/07,46,1326,132,3,20,91,0,9,,0,82,82,"0,0%",0,0
30/04/2020,2020-03-31,2020/04/08,27,1353,"114,143",5,9,100,0,9,,0,91,91,"0,0%",0,0
